licensePlate,longitude,latitude,city,state,speed
9JR5163,-20.264048,-14.9773035,East Trevor,Kentucky,75
IAV 052,91.032599,-46.91313,Ginaland,Wisconsin,94
XAY-658,-109.250831,75.609561,New Christinefurt,Connecticut,76
1ME H54,62.470504,63.0981925,South Tracy,Delaware,100
2-5882O,137.517912,-17.4374825,East Williamburgh,Illinois,100
1HS6730,41.77276,-63.826078,East Regina,Virginia,108
ZTS5458,-34.242216,56.840074,Vargasstad,Washington,84
63-85769,-153.89741,45.292863,Angelaborough,Washington,68
0WS 550,-177.826733,82.6455175,Pierceburgh,Tennessee,66
07WR7,-78.059902,73.665194,North Sandra,Rhode Island,75
4-C7506,-40.521309,69.2569385,Lake Aprilborough,Washington,64
K 421819,23.356765,84.2417215,Martinezfort,Oregon,93
U15-TQM,161.960964,61.3058005,Christinaside,South Carolina,102
4VL 305,-144.618293,59.2639525,Edwinbury,West Virginia,80
3V 81053,130.674089,11.065536,Davidbury,Mississippi,102
509 SKH,-163.821438,57.3577,Sarahfort,Kentucky,102
792 DYY,108.60168,41.085812,Victoriafurt,Indiana,68
GOP 680,15.643921,-34.107264,Katherinemouth,Nevada,73
JYM 769,-109.647276,72.8202875,East Nathan,Maryland,105
2LIJ871,-61.022958,-89.253795,Ryanshire,Montana,93
79X 529,-165.511537,37.617931,East Roy,Pennsylvania,74
5J478,-26.062869,-23.623458,Port Carlosbury,South Dakota,88
PXY-8519,-41.031391,-89.3202415,Alexanderchester,New Mexico,91
222173,-178.677487,-34.737726,New Elizabeth,Louisiana,68
SZ-7508,10.301776,66.7225795,Lisatown,New Mexico,106
CH7 J4G,-118.601525,1.360097,Amandaport,North Carolina,79
BZF U25,-49.940613,16.765578,Lake Brian,South Dakota,61
6V 3553R,-89.513658,-14.2124745,Sotoland,New Jersey,90
LVH 026,-136.560095,74.8258785,South Keithside,South Dakota,101
Q12 6LU,-157.458138,57.43222,West Danielport,Iowa,93
9661,42.476226,56.360404,Mariafurt,Maryland,68
QZB-312,59.736639,-78.4191045,West Cody,Arizona,89
911848,-35.302555,58.8085865,Port Sierraborough,Arkansas,61
THN 727,-34.306982,-57.6110295,Carlside,Tennessee,69
937 3LG,64.842643,-81.7467635,Estesview,Illinois,79
1-J6752,-164.904976,13.988512,South Johntown,Iowa,81
926 URH,-144.012914,-25.290478,Robertsstad,Maryland,72
744-QVO,-129.570007,-39.584203,Katelynshire,Mississippi,100
234-FKT,-28.969777,85.0546565,Douglasview,Arizona,85
QCD-4094,-140.8371,83.5265225,East Anthony,California,95
500 ICK,-88.057951,-30.5847535,East Carol,New Jersey,77
6E C2171,-168.076526,-68.272612,Carterchester,Arkansas,66
UXW-9317,-137.329449,-65.8469005,East Gregory,Oklahoma,94
SIT 774,-34.609287,-66.4222345,North Loristad,Minnesota,104
0CH C63,-88.050947,-12.9346305,West Amberbury,Utah,65
6KGX976,107.906261,38.0440235,South Maryfort,Rhode Island,68
64UX737,99.572481,82.1089885,North Steventown,West Virginia,62
339-GIX,-139.08865,-47.88436,Samanthabury,Massachusetts,67
J64 4XU,108.102217,9.1155205,East Anaton,Illinois,62
2BP 051,21.105097,-89.6449985,New Vincentmouth,Montana,66
0-7258Z,-135.340404,42.9598165,Bradleyview,Georgia,88
442N9,78.064358,-78.0785415,Fisherbury,Colorado,88
EFE 583,-137.904916,16.607135,West Robert,Tennessee,93
16Q 197,-124.85022,-11.8630385,New Darren,Oklahoma,69
15-J293,-86.193561,-85.375931,Deborahmouth,South Carolina,79
81G H02,45.617102,26.754423,Lake Brandon,Connecticut,82
7OC 987,-158.80019,-73.4319945,East Dorisshire,Kansas,69
QES 541,152.045988,85.128867,New Susanborough,Illinois,96
458460,-17.198992,85.334651,Mccoyville,Hawaii,62
38L 390,169.890667,-9.7554375,Taylorport,Wisconsin,76
366-XCT,103.065959,52.6181385,East Michael,Illinois,109
KNJ 247,55.594846,40.8679925,Lake Anthony,Arkansas,85
200-OWZ,61.505598,-54.3768655,North Karen,Mississippi,107
219 JWA,70.532696,-38.9803725,South Jotown,Arkansas,100
HQX 221,62.676486,-19.4698825,Morganberg,Utah,96
18-2718D,-65.552514,60.8842885,Hannahshire,Tennessee,84
973AGR,-113.73228,2.6793235,Juliefort,Indiana,93
6-7857P,-98.595345,-48.015575,New Andrew,Colorado,109
HIR-3841,-166.329023,-50.8195645,Hendersonhaven,Connecticut,82
JKB 797,125.31259,-67.939034,Sabrinafort,Texas,64
4N771,74.31406,-42.675536,New Lori,Idaho,99
ZNU-1531,-106.198096,26.3480685,Lake Dominic,Arizona,71
158 UWI,-89.395971,-45.145985,Sullivanton,Utah,76
ANY-5152,-164.46422,32.137854,Johnsonbury,Colorado,66
HDF 771,-1.143895,-86.659695,Shermanfurt,Minnesota,76
694 FHO,-56.079637,-31.1453845,South Tammyville,Delaware,96
B91 8GW,131.763005,-35.318825,Lake Virginiahaven,Rhode Island,82
1T480,-6.256336,-9.3879705,New Jessica,Wisconsin,95
EWC1965,20.175072,51.27762,Simmonsmouth,Idaho,89
956VC,135.622402,-20.8381705,East Andrewbury,Arkansas,98
4BN A41,-5.067146,38.150394,Smithland,California,96
SBO-8577,-67.737188,62.876187,West Melissa,Florida,105
6912,-88.825788,-2.3781925,North Ericmouth,Wisconsin,97
J51 7UE,-62.52895,86.0886035,New Gordonview,Tennessee,74
436O0,104.63637,87.5612005,South Jennifermouth,North Dakota,70
7C 0747P,50.491026,-23.152648,Hannahshire,Idaho,101
UPJ 262,8.239405,71.8004335,Loriburgh,Nevada,81
US-3933,-177.873818,33.100256,Trujillofort,Massachusetts,88
IMN 790,-170.791806,85.1325605,Gravesborough,Colorado,88
UCP4314,16.412245,-30.7252515,Clarkville,Colorado,78
342 UWA,42.212162,-1.405318,New Christopher,Montana,71
6-H0244,-13.587966,32.6846385,Parkermouth,South Dakota,109
740 2KQ,-126.445326,51.5727345,Brownshire,Alabama,69
293 1121,-39.047581,-88.22912,South Susan,Florida,67
CII 953,-30.147139,-54.528253,South Michaelburgh,Maryland,76
IQ 3100,89.478015,66.346666,Evansport,Colorado,74
280-IJU,51.544985,28.761943,Aliciafort,Alabama,93
84G Y41,114.599408,-68.737757,Lake Renee,South Carolina,68
382I,-112.599836,-88.5705325,West Tracey,Mississippi,99
8-86498,121.154873,37.0712995,Pearsonborough,Florida,85
88W S47,117.293417,46.7555795,Gomezview,Minnesota,97
KLK 128,75.229491,-88.161889,Keithfort,Oklahoma,83
OS-5726,-14.763703,-11.141894,Lesterburgh,Maine,110
2CY H50,77.213474,13.736895,North Jennifer,Virginia,72
8-39388D,-115.30975,-23.1410715,Moniqueland,Massachusetts,77
019 5LV,-0.139393,9.9066495,Michelleberg,Washington,88
2V 62846,141.077138,-89.165626,Lake Jasonchester,New Jersey,73
QIJ B17,19.386692,15.880259,Lake Lisa,Wyoming,60
KRD-045,65.308897,-78.586748,Martinezshire,Rhode Island,61
3S 4Q6ELX,97.013374,49.7424385,Frazierborough,Kansas,86
QMV3958,107.513089,-41.042603,North Marcbury,Louisiana,73
WBV 853,44.568661,53.1740555,Danielletown,Louisiana,73
220 FGW,-139.662549,-33.9236775,Josephton,Mississippi,88
O47 5DV,118.589399,-73.340633,Johnsonmouth,South Dakota,67
PKK 785,1.135825,-84.297856,South Emmaville,North Carolina,70
UDK-1630,67.674256,56.860423,Cooperchester,Maine,102
IMB-571,112.098431,-85.348374,South Kathleenshire,Arkansas,101
683Y,118.99805,-38.760612,East Sabrina,California,85
40X•108,107.790836,42.190094,Farrellmouth,Arkansas,98
B77 6EQ,79.145777,-82.729559,North Kimberlymouth,Idaho,82
1NY0713,154.316962,-66.7756915,Lake Derekport,Wyoming,94
RPG-9754,92.077835,16.77638,Lake Benjamin,New Hampshire,98
VJ 8410,-104.18986,25.8807555,Cabreraburgh,Minnesota,92
523-MMI,76.867212,2.477082,Danielmouth,Massachusetts,77
403 IQL,140.386657,-75.704411,Port Zacharyside,Louisiana,104
SLN 567,118.620789,44.832762,Youngfort,Connecticut,63
8-49941T,-56.058101,47.011285,Davidland,New York,87
YXW-8771,154.245211,-60.3274935,Bowmanport,Missouri,86
03-WD51,81.180235,75.091927,South Aliciaport,New Hampshire,108
KF-9146,-150.392481,77.5291365,Port Frankberg,North Dakota,106
KZA 128,-128.531482,26.019009,East John,Wyoming,108
HP4 0960,-144.516099,-80.4846935,Johnathanton,Maine,75
KPY 791,-74.413186,-21.068288,West Wendy,Utah,88
1504,31.353746,-44.131309,West Scott,Florida,105
0C 2I5CSJ,-58.522661,-69.857484,West Kim,Louisiana,70
2HM 181,-119.186524,-28.2098725,Port Kathy,Massachusetts,79
65-ZR76,106.896812,-89.051562,Jeffreychester,Nebraska,77
KFB-502,-8.372846,-67.0995215,South Rebecca,Arizona,65
DNW 558,47.709409,-74.8844425,New Scott,New York,99
6YR V67,-177.891322,59.2669835,Port Nancy,Hawaii,68
5-Z3001,33.441369,87.7371275,North Charles,Idaho,92
3-15860,173.589135,-89.6878675,Isabelview,West Virginia,97
RMJ5648,110.839124,-7.289576,West Amber,New Mexico,108
F23 0QD,55.609053,63.3871495,Jameston,Utah,60
1XT 959,77.509535,-14.210561,Larashire,Connecticut,64
44-51075,154.98442,11.6657695,North Kirk,Iowa,85
LXI 499,-154.980923,50.2263255,Bethchester,Colorado,76
2TI9871,-25.526939,-28.4541605,Cowanview,Arkansas,69
51O 856,-93.409817,-29.6322935,Darylfurt,Kentucky,98
671 AWB,-109.078904,-25.824981,Elizabethfort,North Carolina,90
LYF2644,-174.704927,75.466113,South Jeffrey,Washington,77
311-715,-128.050332,24.117537,Ericksonfort,North Carolina,71
O05-JCC,3.150746,-55.775566,Port Zachary,Nevada,108
7AKX325,-155.194988,-36.287463,South Pamelaburgh,Mississippi,86
3168,-128.227404,85.3658995,South Stevenstad,Louisiana,63
11U 554,36.989259,72.2134425,Anthonytown,Ohio,70
7YP 150,-83.252443,-78.4287165,New Amandafurt,Ohio,89
XHK-707,-39.029605,-17.2276335,Lake Regina,Nevada,65
43-10323,-74.601489,-12.020741,Smithside,New Jersey,95
55-L726,-149.782568,21.919389,Mcintoshberg,Utah,83
351VCT,89.839435,86.4458745,Katiefort,Massachusetts,87
8N 3Y2ANQ,32.360188,-49.348486,Woodfurt,Virginia,110
PWC 032,-43.752797,55.780921,Port Christopher,Tennessee,105
72R 626,167.963069,-39.0817985,West Destiny,Louisiana,69
7Q 69672,123.14998,3.865548,Lake Edward,Maryland,94
17-6695B,-174.849265,-19.176146,North Charleshaven,Iowa,70
DME 774,-145.875337,-25.717704,Jacksonburgh,Pennsylvania,75
KLZ 118,133.139315,-57.3185485,South Samantha,Illinois,88
8F 3S7VAF,89.082251,-60.599026,Smithview,California,102
JSO 024,30.489156,39.7047535,Lake Alexandra,Utah,65
183 SSO,-106.398518,-36.6276435,Port Tammyborough,Colorado,110
OKR-0540,86.044837,15.3433765,South Crystal,Arkansas,70
8V 7K5QPB,81.520979,87.8886705,Port Luismouth,Wisconsin,94
56DZ944,109.067205,-79.697048,Smithstad,Ohio,98
1DKE 86,179.123372,-49.3007515,Whiteside,Colorado,105
WYU 4860,-42.23294,4.8112325,West Sara,New York,73
MCS 085,-155.563351,-80.1216765,West Denise,Arizona,89
026-JEV,-125.764812,44.9862855,East Michael,Hawaii,64
261-037,-100.97705,52.846083,Port Ralphview,Indiana,60
ZPR 320,165.96615,-76.3619105,South Nicole,Mississippi,73
8EXO 49,-103.084166,58.6346665,South Keithborough,Tennessee,60
6G 23777,16.009872,-54.284638,Cynthiaside,Kansas,70
706-QWB,-125.283002,47.06318,Longborough,Pennsylvania,74
456 XE5,-119.27209,53.8882685,North Susanton,Massachusetts,74
XUI-4641,133.848739,37.948061,Brittanyport,Georgia,81
60-95337,-171.575286,43.0746695,New Todd,Maine,68
647-DREP,2.021631,-36.2199505,Riosview,North Dakota,88
CRO 732,-77.979664,-78.860349,Port Susanchester,New Mexico,90
U27 2NK,-148.411916,-26.545597,West Carlyton,West Virginia,98
9783,52.776289,-18.57282,Raybury,Washington,83
LDC 727,-56.089661,-12.8448655,Beckyside,New Hampshire,71
TAM 400,-114.782207,-0.353759,Maryview,West Virginia,110
FP0 3531,-5.544938,58.17042,Bryanmouth,Kansas,75
931 KHU,179.820956,86.655628,North Andrewborough,South Dakota,66
Q81 8DD,71.738846,-20.3177175,Lake Emilybury,Louisiana,85
8-63847,64.293399,76.266385,Port Candace,Nevada,85
46-YI32,-67.62653,60.7431335,Jefferyshire,Hawaii,97
468-MEN,-0.593499,30.170274,New Jeromeland,Vermont,101
20Z 9370,164.868958,26.03916,New Thomashaven,Alaska,61
OVJ-687,77.169676,-12.747196,East Wanda,Mississippi,96
48-16024,-59.836343,52.917396,West Christophermouth,Louisiana,86
4-7219P,3.452353,15.984228,Charlesmouth,Maine,87
MUR 059,64.501331,-20.239753,West Joe,Maryland,78
MBU 565,110.014768,89.453887,South Gary,Alabama,87
862UCN,86.953109,9.452205,Jacobburgh,Colorado,83
134 PHP,-114.391932,71.539727,West Jessicaview,Utah,105
VLZ 209,93.825358,9.8539075,Goodville,Oklahoma,109
TVA 4832,158.017399,-78.078587,West Mackenzieberg,Texas,91
936-AHX,-6.168721,-67.828822,Rodneychester,Nebraska,68
09FE228,144.672203,9.80214,North Daniel,Iowa,64
WRR 962,-79.584797,66.366363,Michaelton,Indiana,62
2PFQ804,-152.531975,-57.251749,North Cody,Maine,65
8291 FJ,126.437716,24.9312255,Petersonburgh,Iowa,72
QEC N80,-4.01211,-26.8881735,Andersonberg,Alabama,95
804 1PC,41.401991,-13.7649135,Melissamouth,North Dakota,89
321 3QE,-86.229781,87.884449,Rodriguezchester,Arkansas,82
7T304,14.286034,28.404699,North Cassandratown,Utah,105
259 JUB,-179.944201,-81.519258,Gainesside,Nevada,83
DGS 430,-91.724549,-76.0997565,Jasonstad,California,76
950-IUR,0.490042,-80.9550205,South Shawn,Nevada,87
XJ 38507,-3.277681,44.917062,North Kathy,Louisiana,108
91I 807,-117.878555,67.7096605,Arellanomouth,Rhode Island,73
460-ICD,-92.885505,44.5667045,Susanborough,Minnesota,106
3JI5831,-93.43916,49.340159,Turnerfort,Virginia,104
ZJZ-6606,155.338849,51.1962015,New Lauraside,Mississippi,63
4U 29449,-16.365239,28.8073155,North Meaganborough,Georgia,109
000-SKZ,-57.885157,8.8116695,Ingramview,Arkansas,69
P76-BIE,37.424539,83.851311,Meganshire,Kansas,70
621 JHL,-39.044877,-80.8563135,Jamesfurt,North Carolina,83
NAZ 125,10.015904,-33.9250935,Villanuevaview,Colorado,88
6H345,3.578293,-16.3875905,Dannyburgh,Missouri,86
47-TH67,-12.468354,-73.0408145,Christyburgh,Kansas,78
028 HHZ,0.051614,53.708246,South Arthur,New Mexico,67
DE 40813,-139.385827,-20.6798205,Mayhaven,New Mexico,62
7PS 215,-145.237358,39.641193,Howellside,Washington,87
488 JMM,-99.307349,72.4616895,Hicksfurt,Alabama,86
ETK2789,44.941411,-61.1882845,Jessicashire,Vermont,96
793A,98.935854,56.7208025,Jenniferfort,New Mexico,95
BMH-6651,-2.200118,-35.6896,East Jennifer,Indiana,91
78-I233,165.886731,80.936111,Loweborough,Montana,109
1MY4971,-171.342178,-67.497948,Amyborough,South Carolina,109
ST-9043,63.618802,45.1619125,East Melissashire,New York,73
29N 227,159.40622,63.4113565,New Olivia,Missouri,60
700-WCJ,-179.115745,-5.8741295,Whitefort,South Carolina,82
334HKI,30.304593,-58.855885,Crystalstad,Maryland,63
T 312820,92.050862,-78.054493,North Jenniferside,Arkansas,89
5Q F9794,-57.597782,84.812013,East Ryan,Vermont,102
58-BJ21,-1.868316,88.533294,North Shelly,Wyoming,98
214-NNM,43.991386,72.6143445,Burnsfurt,Utah,91
KFV 931,95.669995,15.9366325,North Brenda,Vermont,96
7-O3480,-88.272187,14.584009,North Johnathan,Connecticut,75
EPP0894,101.401679,-21.443112,North Ryan,New Mexico,68
2X 3Q7EZI,46.540139,40.149707,North Richardview,Missouri,67
ZSR 717,106.02554,-14.257242,North Dianeview,North Carolina,82
9OF3067,-109.430571,58.2206815,West Stacieview,Utah,95
MFQ-9194,72.428514,-88.948981,Silvamouth,North Carolina,80
5OF D10,122.790914,-34.8170255,Watkinsbury,Nevada,86
3-K9225,161.583768,17.2621455,West Amy,Colorado,91
253-QTN,161.860325,-37.746953,West Jennifermouth,Massachusetts,69
SGE 512,-85.288678,-84.554487,Port Austinburgh,Arizona,77
854 WGQ,-35.914148,26.771559,Baileymouth,Missouri,64
20YS373,49.263201,-66.581772,East Hunter,Maine,88
1OF 082,-135.57315,76.140521,Fordborough,Louisiana,75
05I QG2,116.708505,45.005661,Howellfort,Kentucky,60
376ULN,36.380465,38.080507,South Brad,Wisconsin,84
986 AWZ,65.709454,37.644429,Bushborough,Ohio,105
189 7ZF,18.557894,80.662315,Garcialand,Mississippi,83
19-20449,65.305932,-63.6812215,Lake Susan,Pennsylvania,92
LCA 552,-100.624404,9.747995,Port Joannamouth,Arkansas,68
9O 11740,-124.793173,10.4836175,West Katherine,Florida,86
844F,159.872677,-86.6193075,Eatonport,Utah,109
310OF,-167.6434,83.703856,West Zacharyfort,Michigan,87
4C 73394,-129.352445,-7.139538,North Jack,Georgia,74
438256,100.319361,-46.613129,Hallberg,Washington,92
95-60726,112.30138,73.2507685,Brandonport,South Carolina,83
ELS-992,156.284382,84.754799,South Michaelstad,Wyoming,72
6LV81,11.708464,47.8358915,Port Gregory,Michigan,67
J46-67U,-88.614025,-34.477069,Blanchardview,Nebraska,81
5FI3593,179.824163,54.7240885,East Lori,Maine,71
CXV-224,-20.922519,-82.5254145,West Heather,Connecticut,69
636 3BO,106.374678,23.648955,Lake Bobbyburgh,New Jersey,69
GWF-3536,96.790482,-88.343316,Lake Steve,New York,65
KAC-574,-97.285618,-29.0014885,New Michael,Nevada,99
IC-3192,44.82161,-67.5908135,Judymouth,Pennsylvania,100
WUD E18,-49.230013,-18.621868,Port Jessicamouth,Illinois,82
91-52911,-136.368002,-52.540012,West Sharon,Indiana,72
K75-48I,43.681063,3.5849485,Karishire,North Carolina,71
Z62 2SW,-86.910258,-43.7425925,Haynesstad,Illinois,70
PNP 412,58.074302,-6.608968,East Dianafort,Florida,79
942-HZV,-76.930184,-2.765899,Woodville,Kentucky,92
0S495,-31.854009,38.5074465,Crystalside,Louisiana,82
BQ0 5559,130.646975,-54.535921,Ruthfort,Connecticut,65
862 RGC,-129.319481,32.218273,Nathanielshire,Hawaii,104
VVA8228,89.967341,-55.8596825,New Johnnyshire,Arkansas,62
1-33363D,103.570906,-83.1294195,West David,Rhode Island,94
M73 8WN,-169.009912,-45.5613025,Port Jessica,Colorado,100
ZEL-2859,-93.524974,-49.6980565,Port Micheal,North Carolina,88
ZP-0892,-103.234067,-81.6120485,Port Patricia,Pennsylvania,77
JSF T81,22.753259,79.683656,Shawnshire,Alabama,64
Y49 4TA,9.609542,-3.7523095,Danielview,Delaware,73
645EUZ,-61.175223,56.9819865,East Kathy,Alabama,86
5I Y9104,-90.791377,68.782786,Fisherside,North Carolina,101
710024,-49.174799,-80.941849,New Justintown,Virginia,79
JM-0542,164.646793,57.298023,North Steven,Michigan,102
8-63721,36.832813,73.765586,Mooreton,Louisiana,69
IBK 381,159.24452,17.2306145,Caseystad,Oregon,108
ZGX 338,-6.751135,50.2761125,Carriefort,North Dakota,105
HLE-3596,58.016896,-55.3987915,Port Kevinmouth,New Hampshire,102
AKJ-153,-110.033818,38.409378,Lindatown,Florida,100
926 UBN,174.439269,4.3273545,North Elainebury,Washington,78
JSF8035,104.182867,-34.5381915,Jacquelinemouth,New Jersey,62
1Q 99364,0.24338,36.264752,Lowerymouth,Wyoming,64
141 NKD,101.412959,-63.290867,North Nicole,Alabama,68
YD0 8274,-120.988388,-2.6524235,Rosemouth,North Carolina,84
28TV4,168.325336,12.774137,Fostermouth,Florida,65
5XG S45,-141.869535,28.9222835,Rodriguezberg,Hawaii,80
KRF-7783,162.269494,-28.667072,West Robert,Nebraska,83
530 EXY,-61.693984,61.139417,Hallberg,Arizona,71
4893,-32.517378,86.6522745,West Sierraburgh,Wisconsin,70
T01 3CY,-39.298566,-27.523183,Port Michaelburgh,Maryland,66
Q39 5XA,69.00518,-40.564841,East Benjamin,Tennessee,77
LGI 932,89.104195,-51.0922515,Nancymouth,Massachusetts,80
43W•841,-101.248023,6.171335,Robbinsbury,Colorado,76
HLY5555,130.911336,35.356707,Lake Elizabeth,Connecticut,95
4L 6I8EST,171.349054,2.3768015,Rileyfurt,Alabama,81
EPZ 679,-28.738428,54.9453105,North Lauren,Delaware,67
4DI 259,140.081308,-20.5090855,East Jennifer,North Carolina,85
8761 TE,-125.361084,-24.672598,Josephshire,West Virginia,71
3002,141.402514,65.041399,East Peterstad,Nevada,108
3PO 268,109.079522,24.3824275,West Tina,West Virginia,62
696 XPH,-22.065507,-86.468548,Lake Jerry,Illinois,101
UGR-0780,-173.51252,86.5507645,Baldwinport,Nevada,104
51-OJ51,176.615714,-28.060761,South Nicoleton,Colorado,81
6HEH659,-127.063082,75.4489105,Barrside,Montana,61
WE9 R4H,-150.311679,-59.065814,West Leonard,Illinois,94
816 5VN,16.554772,40.581164,Scottside,Kansas,110
PON 917,-152.329617,42.8696155,Barbarachester,Oklahoma,73
EQE 226,-79.941343,52.3968995,Lake Donnachester,Delaware,85
8TE9874,121.96458,52.155224,Grahamport,South Carolina,106
6.00E+272,41.128645,-46.255341,Justinfort,Utah,105
B69 1NB,100.056752,-17.919025,East Victoria,Hawaii,83
JV 6709,89.277664,-51.3522085,Butlerburgh,Iowa,92
TQG-794,-124.96648,24.4066315,Claytonmouth,New Mexico,98
7-39832,-55.744823,19.9352895,Haysshire,Missouri,74
795 6OI,2.23249,-14.0082385,Franklinland,Georgia,90
799 6359,69.93306,62.9411995,Amandaborough,Nebraska,104
JM5 Y4S,-133.0499,-81.567383,West Heatherchester,Minnesota,70
2-57997,132.545282,-35.5147105,Mccartyview,Nevada,96
3Z NQ926,-174.432021,-39.4099885,New Veronica,Alabama,89
C72-53C,83.343675,50.350931,South Jacobtown,Louisiana,77
A17-OKH,-34.346764,63.983859,Laceyview,New Mexico,67
753-VPQ,-124.163356,-20.3181835,Youngchester,Rhode Island,78
L95-OWF,18.09842,87.29101,Bradyport,Maine,100
LXP 311,-114.543546,4.461808,Davidton,Kentucky,95
EZZ9925,-91.77458,-7.90137,Williamsshire,Nevada,92
G21-58P,85.010745,51.780613,West Gina,Kentucky,104
57M 2076,72.951238,-84.191572,Port Sherry,Missouri,85
9T KF375,-145.434822,-68.335444,Stevenville,Mississippi,97
KBQ 762,-59.985815,-59.6121485,Oneillbury,Michigan,60
37UX8,-125.603608,9.4451015,Turnerport,South Dakota,62
FN-1673,46.77302,-69.9318365,Lake Robertfurt,Tennessee,102
LDT 164,-132.424599,40.897287,Port Angelaberg,Alabama,97
OEH 397,-122.498107,60.6140365,Lake Wandashire,Rhode Island,70
UZ-5835,64.436586,40.26589,Lake Natalieland,Wyoming,62
5-09683,-82.655643,14.9602915,New Amymouth,Ohio,62
W62 7BF,-164.420477,-33.6833545,Christineview,North Carolina,61
987-742,-95.135429,-82.5697975,Davisborough,Tennessee,93
M86 7NZ,122.180639,-68.519053,South Michael,Arkansas,91
ALV-0101,-124.490773,-18.75483,Ryanhaven,Pennsylvania,101
HKT 660,-71.855303,-55.0110605,New Christopherland,Connecticut,105
7J 24039,-116.261312,-7.351504,South Joshua,Georgia,86
HGT 727,157.741351,2.2638565,Nelsonfort,Illinois,62
7IZT725,-1.818893,-0.131261,Lake Matthewshire,Wyoming,100
S99 8NT,29.178259,-85.1819965,Port Ashleyville,North Dakota,108
5SS 904,-33.4039,60.7055685,South Davidstad,South Carolina,92
787V2,-30.716916,-76.7122485,Popeburgh,Iowa,100
OZF 234,30.077151,11.298155,Jimmytown,Wyoming,106
AUD-520,-0.504767,35.876186,Burkemouth,Mississippi,104
4WJ5527,-16.731511,-11.254429,North Robert,Missouri,72
HOB8232,159.827023,-7.747364,South Mitchell,Iowa,90
637 ZZH,-152.168636,34.433529,Lake Sarah,Rhode Island,108
F28 5QM,70.289114,-13.2334295,Sharonshire,Pennsylvania,110
54Y Y92,172.321741,-60.251409,South Destinyberg,Colorado,88
941 2MY,56.307409,62.308651,Port Shannonberg,Virginia,66
MCS-5145,136.298749,5.403381,Forbesport,North Dakota,101
HYH 434,89.921626,37.147976,South Elizabeth,Rhode Island,109
TBK 045,38.953444,-82.7507485,South Patricia,West Virginia,78
347 ZRC,129.650139,-19.7991945,Gabrielleville,Arkansas,60
558PHE,-32.408316,15.091581,West Raymond,Indiana,73
33FO569,146.891761,18.7124715,Mariastad,Washington,90
HBW 730,-72.156202,11.1798855,Port Cindychester,Nebraska,87
UVP4438,13.428555,20.4849225,Hoganland,Iowa,95
8H R3333,66.634822,-30.4495015,South Danny,Washington,61
864114,92.239254,-43.501379,Andersonbury,Indiana,103
089 6FU,78.668619,-51.5555125,East Ericamouth,Michigan,107
4XZ A63,172.577842,-13.04456,Hudsonland,Wyoming,97
HVN 135,-122.992353,58.9632535,Juantown,Idaho,68
2F 6H6QSG,-89.205345,-19.849098,East Bill,Illinois,94
208 SW9,81.823862,-51.2536865,Mcdonaldberg,Delaware,71
3II A66,-166.481708,7.604656,North Sherristad,New Mexico,75
658-KZF,60.997059,-3.1345335,Chapmanshire,Vermont,90
587-LTTP,-164.121933,45.505051,Shawton,Connecticut,79
CEY 093,-61.046386,-53.90093,East Larryburgh,Nevada,100
838 YKS,-87.119749,-22.203142,Alexandraburgh,Indiana,84
LMU 080,73.938362,55.661022,Michaelville,Wisconsin,78
211 6ES,172.838186,53.439561,Whitakerland,Hawaii,103
XDO3579,-79.688538,13.22386,Fordshire,Montana,88
197KC,4.736104,26.993661,Port Dennisville,Indiana,84
022 ED0,164.845008,-0.885415,Josephside,North Carolina,90
76SO4,-95.052335,38.4415545,East Amberchester,Connecticut,66
OCM R94,14.489792,-52.556733,Nelsonburgh,South Dakota,94
550 ROB,-72.436733,8.8299455,Marshallshire,Florida,91
274 3LV,-65.281786,7.4258745,Smithmouth,Wisconsin,109
2LE 853,-174.226019,29.440644,Paulstad,Pennsylvania,108
495 AWG,-41.924638,73.632832,Michaelport,Kansas,84
3IG 000,-150.994288,69.489808,Paulhaven,Montana,85
7QC 188,57.401037,16.054829,Michealport,Oregon,67
MQJ 757,-125.9664,61.480085,Nguyenfurt,California,106
0-51167,99.885754,80.135028,Port Wesley,Tennessee,62
KXA 687,113.96085,15.357476,Gonzaleschester,New Jersey,77
XB 5532,-96.544914,-36.9413795,East Jacquelineport,Oklahoma,93
SWV-773,94.268701,-55.62391,North Austin,Massachusetts,63
5KK4037,-47.567503,-87.463918,New Connie,Wisconsin,104
53H 5138,-93.957271,57.0352165,West Chris,Georgia,95
275-GFL,-74.16113,47.819296,Pagetown,Maryland,61
6KZ1748,-20.984132,86.143387,South Joshuaborough,South Dakota,62
760-ZJQ,-140.099811,-80.787137,Erinland,Ohio,109
VOB-6559,26.423182,89.669813,Vincentbury,Maine,92
8G013,19.359515,-27.4732585,East Timothy,Illinois,100
MNS 8279,-63.936737,-2.1865235,Santiagofurt,New Hampshire,87
929-ZYT,-104.621011,-9.666021,Boothtown,New York,73
D76 7WT,72.446997,-34.598398,South Lisa,Montana,69
33NL0,135.181402,54.65438,Port Nancy,Iowa,106
13F 410,-147.553295,-85.2969765,Cohenberg,Missouri,74
XIU-265,-5.02428,40.4582365,Davidside,West Virginia,71
1Z 76789,-20.078015,21.0527265,Craigstad,North Carolina,108
08-62816,-19.514513,-85.6857915,Lake Stephanietown,Arkansas,73
T45 1XV,56.693967,71.369947,Blackburgh,West Virginia,94
888-BAN,85.168236,64.059586,Robertside,Indiana,86
